X (cm),Y (cm)
-5.1555653,5.7708106
-5.1858025,5.7984185
-5.2153587,5.797028
-5.2455854,5.8246303
-5.275138,5.82324
-5.3053546,5.8508353
-5.306019,5.879816
-5.335564,5.878425
-5.3657675,5.9060087
-5.3959637,5.9335866
-5.396619,5.9625487
-5.426805,5.990114
-5.4563365,5.9887233
-5.456985,6.0176735
-5.487158,6.0452266
-5.5173244,6.0727735
-5.5179663,6.1017056
-5.548123,6.1292405
-5.548762,6.1581607
-5.5494003,6.187075
-5.5795436,6.214592
-5.580179,6.243494
-5.5808144,6.2723904
-5.6109447,6.299889
-5.6122084,6.3576517
-5.6128397,6.3865247
-5.642954,6.413999
-5.6435823,6.4428596
-5.673687,6.4703217
-5.6743116,6.4991703
-5.674937,6.528013
-5.705028,6.5554576
-5.70565,6.584288
-5.7357316,6.61172
-5.7363496,6.640539
-5.766422,6.667959
-5.767037,6.6967664
-5.7970986,6.724174
-5.827154,6.751576
-5.827763,6.780365
-5.8578086,6.807755
-5.8878474,6.835139
-5.91788,6.8625164
-5.918479,6.8912816
-5.9479055,6.8898883
-5.977925,6.917254
-6.0079374,6.9446135
-6.0379434,6.971967
-6.067359,6.9705734
-6.097355,6.997921
-6.1273437,7.0252624
-6.156752,7.0238686
-6.1867313,7.0512037
-6.2167034,7.078533
-6.2461042,7.077139
-6.276067,7.104462
-6.305464,7.1030684
-6.335416,7.1303854
-6.364809,7.1289916
-6.42414,7.154908
-6.4535284,7.1535144
-6.4829164,7.1521206
-6.5128417,7.1794252
-6.542226,7.178031
-6.5716095,7.176637
-6.6015205,7.2039356
-6.6602798,7.2011476
-6.6896586,7.1997538
-6.7190366,7.1983595
-6.7484145,7.1969657
-6.778302,7.224258
-6.807676,7.222864
-6.866422,7.220076
-6.895795,7.2186823
-6.9251666,7.217288
-6.9545383,7.215894
-6.9834204,7.185815
-7.012794,7.184421
-7.042167,7.1830273
-7.1009116,7.18024
-7.1302834,7.1788464
-7.1596546,7.1774526
-7.1885576,7.1473684
-7.217931,7.1459746
-7.2473035,7.1445813
-7.276217,7.1144915
-7.3055916,7.113098
-7.334513,7.0830026
-7.36389,7.0816092
-7.3932667,7.080216
-7.4221983,7.050115
-7.4515767,7.0487223
-7.480517,7.0186157
-7.509462,6.9885035
-7.538845,6.9871106
-7.5677986,6.956993
-7.5971837,6.9556003
-7.626145,6.925477
-7.655112,6.895348
-7.654691,6.8666058
-7.684084,6.8652134
-7.713062,6.835073
-7.742045,6.804927
-7.771034,6.774775
-7.771034,6.774775
-7.800028,6.7446175
-7.829027,6.714454
-7.858032,6.6842856
-7.857632,6.6555023
-7.886646,6.625322
-7.9156647,6.595136
-7.9152703,6.5663357
-7.944298,6.536138
-7.9439063,6.5073256
-7.9729424,6.4771166
-7.9725537,6.4482927
-8.001597,6.4180717
-8.001212,6.389236
-8.030265,6.359004
-8.029882,6.3301563
-8.029499,6.301303
-8.058563,6.2710533
-8.058183,6.2421885
-8.057423,6.18444
-8.086501,6.154167
-8.086123,6.1252785
-8.085746,6.096384
-8.114836,6.0660934
-8.114462,6.037187
-8.114087,6.0082746
-8.1133375,5.950432
-8.112963,5.9215016
-8.142073,5.8911767
-8.141701,5.8622346
-8.141329,5.8332863
-8.140956,5.8043327
-8.170081,5.773984
-8.169342,5.7160463
-8.168973,5.6870685
-8.168603,5.658085
-8.197745,5.627707
-8.197378,5.5987115
-8.197012,5.5697103
-8.226165,5.5393147
-8.225801,5.5103016
-8.225437,5.481282
-8.254602,5.4508696
-8.254241,5.4218383
-8.2538805,5.3928013
-8.283056,5.362371
-8.282699,5.3333216
-8.311883,5.30288
-8.341426,5.3014927
-8.341074,5.272432
-8.37027,5.241978
-8.36992,5.2129054
-8.399471,5.211519
-8.428678,5.1810536
-8.4578905,5.150583
-8.487446,5.149196
-8.516666,5.1187196
-8.546224,5.117333
-8.545893,5.088237
-8.605012,5.0854645
-8.634249,5.0549765
-8.663811,5.0535903
-8.693056,5.0230966
-8.722619,5.0217104
-8.752183,5.0203247
-8.781439,4.9898252
-8.811004,4.9884396
-8.870133,4.985668
-8.899403,4.955163
-8.928968,4.953778
-8.958535,4.952392
-9.017383,4.920496
-9.04695,4.919111
-9.076517,4.917725
-9.10581,4.8872094
-9.164948,4.884439
-9.194517,4.883054
-9.223824,4.8525324
-9.253394,4.8511477
-9.312533,4.848377
-9.341852,4.8178506
-9.371425,4.816466
-9.400995,4.8150806
-9.4303255,4.7845488
-9.459899,4.7831635
-9.518812,4.751241
-9.548388,4.7498565
-9.577737,4.719313
-9.607313,4.7179284
-9.636671,4.6873794
-9.636671,4.6873794
-9.666034,4.6568246
-9.695402,4.6262636
-9.724986,4.6248794
-9.754363,4.594313
-9.754156,4.5651245
-9.783541,4.5345464
-9.783337,4.505346
-9.812731,4.474756
-9.81253,4.445544
-9.841932,4.414942
-9.841734,4.3857174
-9.841536,4.3564873
-9.87095,4.3258677
-9.870754,4.296625
-9.870559,4.267377
-9.870169,4.2088623
-9.8996,4.178213
-9.899407,4.1489406
-9.899216,4.119662
-9.89883,4.0610867
-9.898638,4.0317903
-9.898445,4.002487
-9.8982525,3.9731786
-9.897867,3.914543
-9.897675,3.8852158
-9.897482,3.855883
-9.897097,3.7971985
-9.926573,3.766466
-9.926383,3.7371087
-9.926193,3.7077453
-9.925814,3.6490004
-9.925623,3.619619
-9.925433,3.5902314
-9.925053,3.5314379
-9.924863,3.5020318
-9.924672,3.4726198
-9.924482,3.4432018
-9.924292,3.4137776
-9.923911,3.3549109
-9.894005,3.3268483
-9.893811,3.2973995
-9.893618,3.2679448
-9.893424,3.238484
-9.893037,3.1795437
-9.892843,3.1500645
-9.862912,3.1219583
-9.862715,3.0924668
-9.862518,3.0629692
-9.832573,3.0348442
-9.832374,3.0053341
-9.832173,2.9758182
-9.802216,2.9476745
-9.802012,2.918146
-9.772045,2.8899899
-9.771838,2.860449
-9.741861,2.8322802
-9.741652,2.802727
-9.711664,2.774546
-9.711452,2.7449803
-9.681455,2.7167864
-9.651451,2.6885862
-9.651451,2.6885862
-9.621441,2.66038
-9.591424,2.632167
-9.5614,2.603948
-9.531601,2.6053257
-9.531369,2.5757227
-9.501567,2.5771003
-9.471526,2.5488684
-9.44172,2.550246
-9.411669,2.522008
-9.381858,2.5233853
-9.352047,2.5247629
-9.321982,2.4965181
-9.292167,2.4978955
-9.262352,2.499273
-9.232272,2.471022
-9.172633,2.4737768
-9.142812,2.4751542
-9.112716,2.4468963
-9.082891,2.448274
-9.053066,2.4496512
-9.02324,2.4510286
-8.963297,2.424142
-8.933466,2.4255192
-8.903636,2.4268966
-8.873804,2.4282742
-8.843669,2.4000032
-8.7839985,2.4027581
-8.754162,2.4041355
-8.7240095,2.375858
-8.694169,2.3772354
-8.664329,2.3786128
-8.604317,2.3517063
-8.574471,2.3530836
-8.544291,2.324793
-8.5144415,2.3261704
-8.484251,2.2978735
-8.424543,2.300628
-8.394339,2.2723246
-8.36448,2.273702
-8.334265,2.245392
-8.304402,2.2467692
-8.274177,2.218453
-8.214444,2.2212071
-8.184204,2.1928844
-8.154333,2.1942616
-8.1240835,2.1659324
-8.093826,2.1375968
-8.063948,2.1389737
-8.033681,2.1106317
-8.003407,2.0822833
-7.9735208,2.0836601
-7.9432364,2.0553052
-7.912945,2.0269442
-7.882647,1.9985765
-7.882647,1.9985765
-7.852342,1.9702026
-7.8220305,1.9418222
-7.791712,1.9134355
-7.791298,1.883666
-7.7613864,1.8850423
-7.7310543,1.8566428
-7.730634,1.8268608
-7.700292,1.7984487
-7.6699433,1.77003
-7.6695166,1.7402292
-7.6391573,1.711798
-7.638727,1.6819845
-7.638297,1.6521648
-7.607925,1.6237146
-7.6074915,1.5938823
-7.607058,1.564044
-7.606624,1.5341994
-7.5762353,1.5057236
-7.5757985,1.4758664
-7.5753613,1.446003
-7.5749245,1.4161333
-7.574487,1.3862574
-7.5740495,1.3563752
-7.573612,1.3264868
-7.573175,1.2965922
-7.572737,1.2666913
-7.5722995,1.2367842
-7.601848,1.2054967
-7.6014132,1.175577
-7.6009784,1.1456513
-7.6005435,1.1157193
-7.630107,1.0844072
-7.629675,1.0544628
-7.6592474,1.0231385
