X (cm),Y (cm)
-8.7688265,5.0820036
-8.7688265,5.0820036
-8.72602,5.0830607
-8.7255535,5.1257434
-8.682749,5.126802
-8.682749,5.126802
-8.639484,5.170536
-8.639484,5.170536
-8.596228,5.214263
-8.596228,5.214263
-8.553422,5.215326
-8.5529785,5.257982
-8.510174,5.259047
-8.509736,5.3016934
-8.509736,5.3016934
-8.466934,5.302761
-8.466502,5.345398
-8.4237,5.346467
-8.423275,5.389095
-8.423275,5.389095
-8.380054,5.432784
-8.380054,5.432784
-8.379635,5.475391
-8.379635,5.475391
-8.336428,5.519063
-8.336428,5.519063
-8.336014,5.561649
-8.293228,5.5627284
-8.29282,5.6053042
-8.29282,5.6053042
-8.292412,5.647869
-8.249231,5.691508
-8.249231,5.691508
-8.248829,5.734052
-8.248829,5.734052
-8.205662,5.7776737
-8.205662,5.7776737
-8.205266,5.820197
-8.204869,5.8627086
-8.204869,5.8627086
-8.161721,5.906304
-8.161721,5.906304
-8.161331,5.948795
-8.16094,5.9912744
-8.118196,5.9923735
-8.117811,6.034844
-8.117427,6.0773025
-8.117427,6.0773025
-8.07431,6.120855
-8.07431,6.120855
-8.073933,6.163293
-8.073554,6.2057195
-8.030829,6.206828
-8.030457,6.2492456
-8.030085,6.2916512
-8.030085,6.2916512
-7.987,6.3351607
-7.987,6.3351607
-7.9866333,6.377546
-7.9435625,6.421038
-7.9435625,6.421038
-7.9432015,6.4634027
-7.9001436,6.5068784
-7.9001436,6.5068784
-7.857093,6.550347
-7.857093,6.550347
-7.856744,6.592681
-7.8137064,6.6361327
-7.8137064,6.6361327
-7.770676,6.679577
-7.770676,6.679577
-7.770339,6.721881
-7.727653,6.723014
-7.7273216,6.7653084
-7.6846375,6.7664433
-7.684312,6.8087287
-7.6413093,6.8521414
-7.6413093,6.8521414
-7.598314,6.8955464
-7.598314,6.8955464
-7.5553255,6.938945
-7.5553255,6.938945
-7.5126476,6.940088
-7.512345,6.9823356
-7.4696684,6.9834805
-7.4693713,7.0257187
-7.4266963,7.0268655
-7.4264054,7.0690947
-7.383732,7.070244
-7.383732,7.070244
-7.3407745,7.113614
-7.3407745,7.113614
-7.298098,7.114765
-7.2978244,7.1569777
-7.25515,7.1581306
-7.25515,7.1581306
-7.2122083,7.2014885
-7.169531,7.202644
-7.169531,7.202644
-7.1268497,7.2037992
-7.1268497,7.2037992
-7.0839186,7.2471538
-7.0839186,7.2471538
-7.0412345,7.248311
-7.0412345,7.248311
-6.9985466,7.249469
-6.9558544,7.2506266
-6.9558544,7.2506266
-6.9131575,7.2517843
-6.9131575,7.2517843
-6.870457,7.252942
-6.827752,7.2541003
-6.827752,7.2541003
-6.7850432,7.255258
-6.7850432,7.255258
-6.74233,7.2564163
-6.74233,7.2564163
-6.6996126,7.257575
-6.6570797,7.216515
-6.6570797,7.216515
-6.6143484,7.217672
-6.6143484,7.217672
-6.571613,7.2188287
-6.5290446,7.17775
-6.5290446,7.17775
-6.486295,7.178905
-6.486295,7.178905
-6.4437017,7.13781
-6.4437017,7.13781
-6.400938,7.138963
-6.358319,7.0978513
-6.358319,7.0978513
-6.3155413,7.0990033
-6.3156843,7.0567245
-6.272897,7.0578747
-6.273034,7.0155826
-6.230237,7.016731
-6.187561,6.975572
-6.187561,6.975572
-6.1447496,6.9767184
-6.14487,6.934398
-6.1020484,6.9355426
-6.1021633,6.8932095
-6.059332,6.894352
-6.0594406,6.8520055
-6.0165997,6.8531466
-6.0167027,6.8107862
-5.9738517,6.8119254
-5.931088,6.77069
-5.93118,6.7283034
-5.888309,6.729439
-5.8883953,6.687039
-5.8455143,6.688173
-5.8455944,6.6457596
-5.802704,6.6468916
-5.8027782,6.6044655
-5.7599463,6.563156
-5.7599463,6.563156
-5.717099,6.5218315
-5.717099,6.5218315
-5.674236,6.4804916
-5.6742935,6.438014
-5.6742935,6.438014
-5.6314087,6.396646
-5.6314087,6.396646
-5.5885086,6.3552628
-5.5885544,6.312747
-5.5455923,6.313864
-5.545633,6.271335
-5.5026608,6.2724504
-5.502695,6.229908
-5.459742,6.188466
-5.459742,6.188466
-5.4597707,6.145899
-5.4167733,6.147009
-5.416796,6.1044283
-5.3738055,6.0629425
-5.3738055,6.0629425
-5.3307996,6.021441
-5.3307996,6.021441
-5.2877774,5.9799247
-5.2877774,5.9799247
-5.2447395,5.938393
-5.2447395,5.938393
-5.2447395,5.8957477
-5.201686,5.896847
-5.20168,5.8541875
-5.1586165,5.8552847
-5.1586165,5.8552847
-5.1155314,5.8137074
-5.1155314,5.8137074
-5.0724306,5.7721148
-5.0724306,5.7721148
-5.0293427,5.773208
-5.0293136,5.730507
-4.986216,5.7315984
-4.986216,5.7315984
-4.943114,5.73269
-4.9430733,5.6899734
-4.899961,5.691063
-4.899961,5.691063
-4.856845,5.692153
-4.856845,5.692153
-4.813724,5.693243
-4.813724,5.693243
-4.7705355,5.651597
-4.7705355,5.651597
-4.727401,5.652685
-4.684262,5.653774
-4.684262,5.653774
-4.641118,5.654862
-4.6411996,5.6976037
-4.5980577,5.698694
-4.5980577,5.698694
-4.5549116,5.6997848
-4.511761,5.7008753
-4.511761,5.7008753
-4.468607,5.7019663
-4.468607,5.7019663
-4.4255586,5.745797
-4.4255586,5.745797
-4.3824015,5.74689
-4.33924,5.747983
-4.3393617,5.790715
-4.2962017,5.7918105
-4.2962017,5.7918105
-4.253038,5.792906
-4.253171,5.8356304
-4.2100086,5.8367276
-4.2100086,5.8367276
-4.166987,5.8805423
-4.1238217,5.8816414
-4.1238217,5.8816414
-4.080809,5.925451
-4.080809,5.925451
-4.0378036,5.969252
-4.0378036,5.969252
-3.9946373,5.970356
-3.9948053,6.0130463
-3.9516406,6.014152
-3.9518147,6.0568333
-3.9086514,6.057941
-3.9088311,6.100612
-3.8656695,6.1017222
-3.865855,6.144384
-3.822695,6.145496
-3.8228862,6.1881485
-3.779728,6.1892624
-3.7799249,6.231905
-3.736768,6.2330213
-3.7369707,6.2756543
-3.6938155,6.2767725
-3.6940238,6.319396
-3.65087,6.320516
-3.6510844,6.3631306
-3.6510844,6.3631306
-3.6081524,6.4068575
-3.6081524,6.4068575
-3.5652275,6.450577
-3.5652275,6.450577
-3.5654533,6.4931607
-3.52231,6.494289
-3.5225415,6.5368633
-3.4794,6.5379934
-3.479637,6.5805583
-3.479637,6.5805583
-3.43674,6.624246
-3.43674,6.624246
-3.4369829,6.6667895
-3.39385,6.667926
-3.3940988,6.71046
-3.3940988,6.71046
-3.351222,6.7541237
-3.351222,6.7541237
-3.3083525,6.7977796
-3.3083525,6.7977796
-3.3086126,6.8402834
-3.2654905,6.841428
-3.2654905,6.841428
-3.2226355,6.8850684
-3.2226355,6.8850684
-3.222907,6.9275537
-3.179788,6.928702
-3.179788,6.928702
-3.1369479,6.972328
-3.1369479,6.972328
-3.0938263,6.973479
-3.0938263,6.973479
-3.0509949,7.0170994
-3.0509949,7.0170994
-3.0509949,7.0170994
-3.0081708,7.0607123
-3.0081708,7.0607123
-2.965048,7.061867
-2.965048,7.061867
-2.9219213,7.063022
-2.8791077,7.1066318
-2.8791077,7.1066318
-2.835978,7.107789
-2.835978,7.107789
-2.7928443,7.1089463
-2.7931733,7.1513934
-2.750041,7.1525526
-2.750041,7.1525526
-2.7069046,7.153712
-2.7069046,7.153712
-2.663764,7.1548715
-2.6209712,7.1984744
-2.6209712,7.1984744
-2.577828,7.199636
-2.577828,7.199636
-2.5346804,7.200798
-2.4915285,7.2019596
-2.4915285,7.2019596
-2.4483724,7.2031217
-2.4487479,7.2455616
-2.4055934,7.2467256
-2.3624346,7.2478895
-2.3624346,7.2478895
-2.3192718,7.2490535
-2.2761047,7.250218
-2.2761047,7.250218
-2.2329333,7.2513824
-2.1897576,7.252547
-2.1897576,7.252547
-2.1465778,7.2537117
-2.1038153,7.2973204
-2.1038153,7.2973204
-2.060633,7.298487
-2.017446,7.299654
-2.017446,7.299654
-1.9742552,7.300821
-1.93106,7.301988
-1.93106,7.301988
-1.8878605,7.3031554
-1.8446568,7.3043227
-1.8446568,7.3043227
-1.8014488,7.30549
-1.7582366,7.306658
-1.7582366,7.306658
-1.7150203,7.3078256
-1.6717997,7.3089933
-1.6285747,7.310161
-1.6285747,7.310161
-1.5853456,7.3113294
-1.5421122,7.3124976
-1.5421122,7.3124976
-1.4988745,7.313666
-1.4556327,7.314834
-1.4123867,7.316003
-1.4123867,7.316003
-1.3691363,7.317171
-1.3258817,7.31834
-1.2826228,7.319509
-1.2826228,7.319509
-1.2393597,7.3206778
-1.1960924,7.321847
-1.1528208,7.323016
-1.1528208,7.323016
-1.109545,7.3241854
-1.0662649,7.325355
-1.0229806,7.3265243
-1.0229806,7.3265243
-0.979692,7.327694
-0.93639916,7.328864
-0.89310205,7.330034
-0.8925169,7.2875357
-0.8492097,7.288704
-0.8058983,7.289872
-0.7625826,7.2910404
-0.7625826,7.2910404
-0.71926266,7.2922087
-0.6759384,7.2933774
-0.63260996,7.294546
-0.63260996,7.294546
-0.5892772,7.295715
-0.5459402,7.2968836
-0.502599,7.298053
-0.502599,7.298053
-0.4592535,7.299222
-0.41590375,7.300391
-0.3725497,7.3015604
-0.32919145,7.3027296
-0.32852995,7.2601953
-0.28516155,7.261363
-0.24178888,7.262531
-0.19841194,7.2636986
-0.19841194,7.2636986
-0.15503074,7.264867
-0.11164527,7.2660346
-0.06825553,7.267203
-0.06825553,7.267203
-0.02486153,7.268371
0.018536739,7.26954
0.061939277,7.270708
0.061939277,7.270708
0.10534608,7.271877
0.14875716,7.2730455
0.19290465,7.2316456
0.19290465,7.2316456
0.23633015,7.2328124
0.2797599,7.2339797
0.32319397,7.235147
0.32319397,7.235147
0.36663228,7.2363143
0.41007486,7.237482
0.45352173,7.23865
0.45352173,7.23865
0.4969729,7.2398176
0.5404283,7.2409854
0.583888,7.242153
0.583888,7.242153
0.62735194,7.2433214
0.6708202,7.2444897
0.71509576,7.2030544
0.71509576,7.2030544
0.7585785,7.204221
0.8020655,7.2053876
0.8020655,7.2053876
0.84555674,7.206554
0.8890523,7.2077208
0.9325521,7.208888
0.9325521,7.208888
0.9760562,7.210055
1.0195646,7.211222
1.0195646,7.211222
1.0630773,7.2123895
1.1065943,7.2135572
1.1501155,7.2147245
1.1501155,7.2147245
1.1936411,7.2158923
1.2371709,7.21706
1.2371709,7.21706
1.280705,7.218228
1.3242434,7.219396
1.3242434,7.219396
1.3677862,7.220564
1.4113331,7.221732
1.4113331,7.221732
1.4548844,7.222901
1.4984399,7.224069
1.4984399,7.224069
1.5419998,7.225238
1.5419998,7.225238
1.5855639,7.2264066
1.6291324,7.2275753
1.6291324,7.2275753
1.6727052,7.228744
1.7162821,7.229913
1.7162821,7.229913
1.7598635,7.2310824
1.7598635,7.2310824
1.8034492,7.2322516
1.847039,7.233421
1.847039,7.233421
1.8906332,7.2345905
1.8906332,7.2345905
1.9342318,7.23576
1.9342318,7.23576
1.9778346,7.23693
2.0214417,7.2380996
2.0214417,7.2380996
2.0640666,7.281934
2.0640666,7.281934
2.1076765,7.283106
2.1076765,7.283106
2.1512904,7.284278
2.1512904,7.284278
2.1949089,7.28545
2.1949089,7.28545
2.2385316,7.2866225
2.2385316,7.2866225
2.2811427,7.330457
2.2811427,7.330457
2.324768,7.3316317
2.324768,7.3316317
2.3683977,7.3328066
2.3683977,7.3328066
2.4120317,7.3339815
2.410998,7.376638
2.410998,7.376638
2.4546304,7.377815
2.4546304,7.377815
2.498267,7.3789916
2.498267,7.3789916
2.497222,7.4216404
2.540857,7.4228196
2.540857,7.4228196
2.5844963,7.423999
